Date,Target,Type,URL,Status,Notes,Domain_Authority
2026-02-21,Vermont Chamber of Commerce,Local Directory,https://www.vtchamber.com,Pending,Vermont-based business listing,45
2026-02-21,Better Business Bureau Vermont,Trust Directory,https://www.bbb.org/us/vt,Pending,Business profile + trust signal,92
2026-02-21,Vermont Business Directory,Local Directory,https://www.vermontbiz.com,Pending,State business directory,32
2026-02-21,HomeAdvisor Pro,Industry Directory,https://www.homeadvisor.com,Pending,May list as resource (not contractor),68
2026-02-21,Angie's List Business Center,Industry Directory,https://www.angieslist.com,Pending,Business resource section,75
2026-02-21,Houzz Pro,Industry Directory,https://www.houzz.com,Pending,Pro resources section,88
2026-02-21,Porch Business,Industry Directory,https://www.porch.com,Pending,Business/pro section,62
2026-02-21,Thumbtack Resources,Industry Directory,https://www.thumbtack.com,Pending,Resource/guide section,71
2026-02-21,Google Business Profile,Essential,https://business.google.com,Pending,Must-have for local SEO,100
2026-02-21,Yelp for Business,Essential,https://biz.yelp.com,Pending,Business listing,94
2026-02-21,Facebook Business Page,Social,https://business.facebook.com,Pending,Social presence,96
2026-02-21,LinkedIn Company Page,Professional,https://www.linkedin.com,Pending,Professional network,98
2026-02-21,Crunchbase,Startup Directory,https://www.crunchbase.com,Pending,Startup/company profile,91
2026-02-21,Product Hunt,Tech Directory,https://www.producthunt.com,Pending,Product launch platform,89
2026-02-21,AlternativeTo,Product Directory,https://alternativeto.net,Pending,Alternative to lead-gen tools,67
